"","student.label","game.score","percent.training.sessions.attended","overall.fitness.score","X..extra.strategy.sessions.attended","hours.of.sleep.the.night.before.game","X..meals.on.day.prior.to.game","east coast","west coast","evening","morning","noon","early bird","night owl","baseball","basketball","curling","football","frisbee","gymnastics","martial arts","table tennis","frosh","junior","senior","sophomore"
"1",1,37.76,0.96,0,7,5,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"2",2,35.76,1,0.01,3,6,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"3",3,0,0.31,0,2,5,5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"4",4,18.66,0.12,0.83,1,8,6,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"5",5,85.94,1,1,9,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"6",6,35.58,0.88,0,6,5,6,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"7",7,31.47,0.74,0,7,1,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"8",8,35.88,0.13,0.56,8,10,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"9",9,21.86,0,0,2,8,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"10",10,28.9,0,0.54,8,3,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"11",11,34.57,0,0.52,9,12,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"12",12,59.05,1,0.96,2,2,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"13",13,73.05,0.97,0.78,7,10,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"14",14,34.79,0.32,0.12,5,4,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
