"","student.label","game.score","percent.training.sessions.attended","overall.fitness.score","X..extra.strategy.sessions.attended","hours.of.sleep.the.night.before.game","X..meals.on.day.prior.to.game","west coast","evening","morning","noon","early bird","night owl","baseball","basketball","curling","football","frisbee","gymnastics","martial arts","table tennis","frosh","junior","senior","sophomore"
"1",1,36.83,1,0.17,6,7,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"2",2,7.72,1,0.02,3,4,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"3",3,4.79,0.21,0.08,2,5,5,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"4",4,6.96,0.11,0.89,2,7,6,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"5",5,72.88,1,1,10,0,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"6",6,27.28,0.97,0,6,6,6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"7",7,23.04,0.83,0,7,3,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"8",8,45.89,0.24,1,7,9,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"9",9,0,0,0.01,3,6,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"10",10,23.23,0,0.52,8,5,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"11",11,22.65,0,0.87,9,12,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"12",12,50.25,0.98,1,2,1,5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"13",13,48.78,1,0.54,7,10,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"14",14,0,0.34,0,7,4,4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"15",15,54.8,1,0.84,10,10,5,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"16",16,0,0,0,3,2,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"17",17,47.82,1,0.92,6,1,5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"18",18,0,0,1,1,0,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"19",19,10.96,0,0,7,7,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"20",20,22.07,0.65,0,2,9,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"21",21,48.3,0.21,1,5,8,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"22",22,57.07,1,0.5,10,12,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"23",23,64.46,0.71,1,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"24",24,49.86,0.2,0.07,6,1,5,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"25",25,73.21,1,1,9,12,5,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"26",26,33.41,0.23,0.53,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"27",27,45.93,0.97,0,8,0,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"28",28,61.83,1,0.81,8,12,4,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"29",29,39.12,1,0.14,5,11,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"30",30,28.54,0,0,5,10,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"31",31,53.2,0.85,0.61,7,11,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"32",32,48.52,1,0,8,9,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"33",33,64.45,0.86,0.79,9,8,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"34",34,63.67,1,0.72,8,1,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"35",35,40.15,0.06,1,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"36",36,69.63,1,1,6,12,5,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"37",37,50.26,1,0.32,8,7,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"38",38,36.72,0.11,0.92,8,4,5,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"39",39,58.34,0.69,0.56,7,12,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"40",40,52.42,0.74,0.62,0,7,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"41",41,33.42,1,0,2,8,6,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"42",42,45.12,0.52,1,3,3,5,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"43",43,58.27,1,0.61,6,4,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"44",44,31.25,0.97,0.23,5,3,5,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"45",45,14.42,0.04,0.17,3,10,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"46",46,47.09,0.74,0.76,8,10,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"47",47,0,0.11,0.08,2,11,6,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"48",48,11.11,0.09,0.19,8,2,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"49",49,16.03,0.67,0,0,11,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"50",50,16.66,0,0,2,3,5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"51",51,30.61,0.09,0.01,5,5,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"52",52,62.19,0.8,0.99,5,1,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"53",53,47.56,0.4,1,6,10,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"54",54,70.38,1,0.92,9,8,5,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
