"","student.label","game.score","percent.training.sessions.attended","overall.fitness.score","X..extra.strategy.sessions.attended","hours.of.sleep.the.night.before.game","X..meals.on.day.prior.to.game","east coast","west coast","evening","morning","noon","early bird","night owl","baseball","basketball","curling","football","frisbee","gymnastics","martial arts","table tennis","frosh","junior","senior","sophomore"
"1",1,34.08,0.65,0,6,5,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"2",2,39.92,0.95,0,5,9,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"3",3,35.81,0.53,0,3,6,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"4",4,18.63,0,0.44,2,9,6,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"5",5,59.05,0.81,0.9,8,2,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"6",6,30.43,1,0.04,6,5,6,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"7",7,34.07,0.86,0,6,2,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"8",8,32.7,0,0.11,9,11,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"9",9,21.32,0,0.02,2,9,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"10",10,35.98,0,0.73,7,3,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"11",11,29.32,0.17,0.51,8,11,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"12",12,67.91,1,1,3,3,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"13",13,59.73,0.59,0.94,7,8,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"14",14,8.39,0.11,0,4,4,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"15",15,66.33,1,0.93,10,9,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"16",16,0,0.02,0.07,2,5,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"17",17,47.3,0.7,0.98,8,0,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"18",18,4.26,0.14,0.99,1,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"19",19,26.57,0,0,6,6,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"20",20,35.3,0.62,0.16,1,8,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"21",21,34.03,0.06,0.95,8,10,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"22",22,36.18,0.55,0.61,8,12,6,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"23",23,66.75,1,1,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"24",24,0,0.41,0.45,3,1,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"25",25,69.11,1,0.95,10,12,5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"26",26,0,0.1,0.12,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"27",27,36.09,1,0,9,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"28",28,46.76,0.9,0.49,10,11,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"29",29,28.24,0.54,0,7,10,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"30",30,12.65,0,0,6,10,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"31",31,59.19,1,0.65,7,10,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"32",32,55.28,0.93,0.04,10,9,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"33",33,61.87,0.7,0.89,8,7,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"34",34,71.71,1,0.97,7,2,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"35",35,19.24,0.02,0.55,0,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"36",36,63.14,1,1,6,12,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"37",37,45.64,0.99,0.14,7,9,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"38",38,30.27,0.28,0.73,8,3,5,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"39",39,70.61,1,0.66,8,10,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"40",40,34.02,0.3,0.85,1,7,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"41",41,44.63,0.91,0.08,2,6,6,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"42",42,40.49,0.93,0.75,5,2,5,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"43",43,56.02,1,0.54,6,5,4,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"44",44,11.18,0.31,0.46,3,2,5,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"45",45,29.76,0,0.05,4,10,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"46",46,62.06,0.83,0.51,10,11,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"47",47,2.86,0.09,0.05,3,9,6,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"48",48,27.97,0.14,0.01,6,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"49",49,32.87,1,0.3,1,12,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"50",50,74.9,0.08,0.45,1,1,5,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"51",51,23.7,0.08,0,3,4,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"52",52,50.73,1,0.81,6,0,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"53",53,26.5,0.35,0.24,5,10,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"54",54,56.24,0.91,0.72,10,9,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"55",55,42.23,0.42,0.63,6,7,5,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"56",56,21.34,0.52,0.3,2,1,6,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"57",57,26.38,0.42,0.77,3,0,6,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"58",58,48.94,0.8,0,7,6,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"59",59,29.14,0.36,0.72,6,1,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"60",60,33.02,0,0.83,5,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"61",61,42.87,0.43,0.86,4,8,3,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"62",62,37.71,0.25,0.83,5,5,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"63",63,47.42,0,0.88,9,9,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"64",64,62.49,0.49,0.77,10,12,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"65",65,35.16,0.56,0.29,1,0,4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"66",66,39.89,0.23,0.02,9,6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"67",67,48.82,0,0.52,0,2,6,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"68",68,35.56,1,0,5,9,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"69",69,51.43,0.82,0.75,8,9,5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"70",70,37.17,1,0,7,0,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"71",71,27.64,0.03,0.26,10,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"72",72,14.43,0.34,0.32,6,3,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"73",73,59.45,0.64,0.98,7,2,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"74",74,67.03,0.88,0.97,10,11,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"75",75,0,0.25,0.04,2,0,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"76",76,34.88,1,0,7,2,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"77",77,27.52,0.75,0,6,7,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"78",78,31.67,0.8,0,3,0,6,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"79",79,20.67,0.31,0,1,5,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"80",80,38.36,1,0,5,8,5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"81",81,79.42,1,1,10,2,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"82",82,51.07,0.87,0.74,3,7,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"83",83,76.95,0.99,1,6,5,6,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"84",84,28.79,1,0.03,2,5,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"85",85,30.95,0.37,0,10,10,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"86",86,48.72,0.9,0,10,12,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"87",87,24.44,0.42,0.22,5,8,4,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"88",88,51.46,0,0.19,1,1,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"89",89,77.58,0.91,1,7,6,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"90",90,56.87,1,0.63,8,10,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"91",91,31.22,0.76,0.04,6,7,6,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"92",92,41.43,0.4,1,2,11,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"93",93,0,0.02,0.02,1,1,6,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"94",94,24,0.54,0.1,7,3,6,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"95",95,63.27,1,0.96,3,10,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"96",96,65.67,1,0.54,8,4,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"97",97,48.93,0.87,0.63,7,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"98",98,44.72,0.95,0.55,5,11,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"99",99,65.87,0.48,1,10,12,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"100",100,66.82,1,0.74,10,7,5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"101",101,47.14,0.71,0.57,9,7,4,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"102",102,49.13,0.83,0.37,8,5,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"103",103,25.18,0.05,0.9,8,4,4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"104",104,46.33,0.53,0.66,9,7,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"105",105,31.43,0.78,0.05,0,6,5,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"106",106,44.72,0.95,0.58,1,0,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"107",107,22.17,0,0.73,4,9,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"108",108,88.25,1,1,10,8,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"109",109,32.37,0,1,5,7,5,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"110",110,2.87,0.18,0.17,7,1,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"111",111,30.71,0.32,0.67,5,11,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"112",112,17.22,0.02,0.75,2,6,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"113",113,77.68,1,1,10,6,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"114",114,24.51,0,0.43,3,7,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"115",115,25.31,0.83,0.04,3,3,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"116",116,21.99,0.32,0.05,4,3,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"117",117,18.17,0,0,3,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"118",118,28.9,0,0.85,2,11,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"119",119,44.26,0.95,0.79,7,1,5,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"120",120,41.17,0.33,1,0,3,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"121",121,34.01,0.07,0.93,6,8,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"122",122,68.15,1,0.96,2,3,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"123",123,32.75,0,0.65,0,3,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"124",124,22.41,0.22,0.16,8,4,5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
