"","student.label","game.score","percent.training.sessions.attended","overall.fitness.score","X..extra.strategy.sessions.attended","hours.of.sleep.the.night.before.game","X..meals.on.day.prior.to.game","west coast","evening","morning","noon","early bird","night owl","baseball","basketball","curling","football","frisbee","gymnastics","martial arts","table tennis","frosh","junior","senior","sophomore"
"1",1,50.88,0.96,0.51,8,7,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"2",2,31.61,0.84,0,5,3,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"3",3,37.62,0.31,0.03,3,3,5,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"4",4,33.03,0.24,1,2,7,6,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"5",5,54.27,0.73,0.91,9,0,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"6",6,46.58,0.96,0.38,5,8,6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"7",7,25.13,0.98,0,7,1,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"8",8,62.66,0.53,1,6,10,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"9",9,31.75,0,0.23,3,6,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"10",10,36.6,0,0,7,5,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"11",11,40.9,0,0.26,7,10,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"12",12,53.65,0.83,1,1,3,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"13",13,63.39,0.94,0.52,9,12,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"14",14,39.98,0.76,0.17,7,5,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"15",15,84.97,1,1,9,10,5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"16",16,22.08,0,0,6,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"17",17,34.84,0.78,0.69,8,0,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"18",18,32.46,0,0.85,2,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"19",19,41.18,0,0,7,9,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"20",20,24.85,0.22,0,0,9,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"21",21,34.04,0,1,6,7,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"22",22,51.03,0.96,0.58,10,12,6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"23",23,47.93,0.35,1,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"24",24,22.31,0.25,0.19,6,3,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"25",25,81.45,0.93,1,9,10,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"26",26,32.84,0.7,0.34,1,0,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"27",27,53.04,1,0,10,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"28",28,39.62,0.92,0.4,7,12,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"29",29,31.77,0.9,0.06,4,10,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"30",30,27.52,0,0.05,5,10,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"31",31,45,1,0.64,5,10,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"32",32,25.62,0.96,0.12,5,9,5,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"33",33,72.01,0.92,1,8,7,5,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"34",34,51.82,1,0.83,8,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"35",35,5.11,0.1,0.78,2,0,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"36",36,66.66,1,1,3,11,5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"37",37,31.22,1,0.38,4,6,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"38",38,42.27,0,1,8,3,5,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"39",39,49,1,0.35,7,10,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"40",40,40.01,1,0.44,1,6,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"41",41,31.23,1,0,3,10,6,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"42",42,31.28,0,1,4,4,5,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"43",43,78.34,0.82,1,9,7,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"44",44,23.24,0.6,0.25,6,3,5,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"45",45,6.3,0,0,2,12,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"46",46,66.99,0.93,1,6,8,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"47",47,12.39,0,0.19,1,12,6,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"48",48,33.01,0.06,0.94,8,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"49",49,1.77,0.19,0,0,12,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"50",50,23.11,0,0.04,3,4,5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
