"","student.label","game.score","percent.training.sessions.attended","overall.fitness.score","X..extra.strategy.sessions.attended","hours.of.sleep.the.night.before.game","X..meals.on.day.prior.to.game","east coast","west coast","evening","morning","noon","early bird","night owl","baseball","basketball","curling","football","frisbee","gymnastics","martial arts","table tennis","frosh","junior","senior","sophomore"
"1",1,11.08,0.48,0.18,6,5,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"2",2,44.37,1,0.41,8,10,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"3",3,11.94,1,0.21,3,6,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"4",4,36.5,0.63,0.78,3,10,6,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"5",5,59.83,0.97,0.7,8,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"6",6,37.59,0.5,0.35,6,4,6,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"7",7,22.77,0.87,0,7,2,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"8",8,10.5,0,0.41,6,12,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"9",9,7.78,0.26,0.11,2,10,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"10",10,20.99,0.08,0.64,6,3,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"11",11,31.65,0.15,0.78,9,12,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"12",12,47.14,1,0.66,3,4,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"13",13,74.03,0.63,0.99,8,6,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"14",14,2.23,0.22,0.08,4,3,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"15",15,54.48,0.91,0.71,9,10,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"16",16,33.34,0,0.09,2,4,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"17",17,64.33,0.7,1,7,3,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"18",18,14.14,0,0.43,1,2,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"19",19,31.04,0.26,0.18,7,6,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"20",20,17.37,0.24,0.43,1,8,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"21",21,33.14,0,0.52,7,11,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"22",22,42.53,0.89,0.62,9,12,6,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"23",23,30.7,0.39,0.58,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"24",24,20.79,0.85,0.22,4,2,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"25",25,47.34,0.87,0.67,8,12,5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"26",26,0,0.1,0,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"27",27,36.69,0.54,0.5,10,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"28",28,54.57,1,0.8,8,9,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"29",29,34.15,0.67,0.54,7,10,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"30",30,33.35,0,0.12,7,11,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"31",31,58.94,0.76,0.92,7,10,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"32",32,56.96,0.88,0.09,10,9,5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"33",33,47.88,0.53,0.93,6,6,5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
