"","student.label","game.score","percent.training.sessions.attended","overall.fitness.score","X..extra.strategy.sessions.attended","hours.of.sleep.the.night.before.game","X..meals.on.day.prior.to.game","west coast","evening","morning","noon","early bird","night owl","baseball","basketball","curling","football","frisbee","gymnastics","martial arts","table tennis","frosh","junior","senior","sophomore"
"1",1,40.25,1,0.28,7,7,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"2",2,20.23,0.86,0,5,3,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"3",3,16.9,0.41,0,3,4,5,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"4",4,29.31,0.2,1,2,7,6,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"5",5,75.03,0.88,1,10,1,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"6",6,45.19,0.89,0.28,4,7,6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"7",7,27.41,1,0,7,2,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"8",8,34.41,0.22,0.91,7,11,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"9",9,8.8,0,0.08,5,7,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"10",10,26.98,0,0,7,5,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"11",11,45.4,0,0.69,8,12,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"12",12,63.16,1,1,3,1,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"13",13,57.04,1,0.19,8,11,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"14",14,32.81,0.65,0.01,8,5,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"15",15,73.11,1,0.77,10,11,5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"16",16,19.04,0.13,0,5,1,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"17",17,49.35,1,0.85,7,0,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"18",18,37.34,0.17,0.97,2,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"19",19,45.37,0.12,0,7,7,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"20",20,25.87,0.22,0,1,9,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"21",21,26.16,0.02,1,5,7,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"22",22,42.44,1,0.1,10,11,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"23",23,50,0.5,1,0,2,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"24",24,25,0.26,0,6,1,5,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"25",25,71.48,1,1,8,12,5,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"26",26,32.02,0.74,0.58,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"27",27,45.18,0.84,0.02,9,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"28",28,52.1,1,0.42,8,12,4,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"29",29,30.57,1,0.27,4,11,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"30",30,18.72,0.06,0,5,10,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"31",31,36.66,0.72,0.82,5,10,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"32",32,28.67,1,0.17,7,9,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
